                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.41413,                0.51692,                 1.0107,                0.92582,                0.84421,                0.95714,                0.86138,                0.49102,                0.55808,                 1.1184,             0.00027508,             0.00027508,             0.00027508
                     79,                0.41262,                0.46877,                 1.0252,                0.94737,                0.87354,                0.94973,                0.85285,                0.47109,                0.56466,                 1.0877,             0.00026408,             0.00026408,             0.00026408
                     80,                0.41621,                0.49092,                 1.0079,                0.87843,                0.88069,                 0.9425,                0.85251,                0.46975,                0.56974,                 1.0997,             0.00025309,             0.00025309,             0.00025309
                     81,                 0.4155,                  0.494,                 1.0084,                0.88447,                 0.8809,                0.94442,                0.85798,                0.46807,                0.55855,                 1.0991,             0.00024209,             0.00024209,             0.00024209
                     82,                0.41751,                0.51616,                 1.0156,                0.88051,                0.89339,                0.95364,                0.86459,                0.46718,                0.52534,                 1.0974,             0.00023109,             0.00023109,             0.00023109
                     83,                0.39224,                0.49155,                0.98973,                0.87102,                0.92626,                0.96195,                0.86658,                0.48062,                0.53247,                 1.1065,             0.00022009,             0.00022009,             0.00022009
                     84,                0.39285,                0.48112,                0.99568,                0.91928,                0.89292,                0.95515,                0.86095,                0.48491,                0.57972,                 1.1119,             0.00020909,             0.00020909,             0.00020909
                     85,                0.40334,                0.47239,                0.99505,                0.91211,                0.88712,                0.94543,                 0.8524,                0.48198,                0.59755,                 1.1096,             0.00019809,             0.00019809,             0.00019809
                     86,                 0.4053,                0.46302,                  1.016,                0.90861,                0.86521,                 0.9379,                0.84826,                0.47237,                0.59129,                 1.0914,             0.00018709,             0.00018709,             0.00018709
                     87,                0.39521,                 0.4813,                0.98536,                0.91292,                0.85509,                0.94284,                0.85761,                0.47514,                 0.6056,                 1.0921,             0.00017609,             0.00017609,             0.00017609
                     88,                0.37728,                0.45356,                0.98341,                0.91645,                0.85391,                0.95629,                0.86234,                0.47076,                0.58981,                 1.0857,             0.00016509,             0.00016509,             0.00016509
                     89,                 0.3662,                0.44177,                0.97617,                0.90654,                0.89002,                0.96239,                0.86872,                0.46492,                0.54129,                 1.0801,              0.0001541,              0.0001541,              0.0001541
                     90,                0.36966,                0.43451,                0.98525,                0.90477,                0.88926,                0.95487,                0.86611,                0.45764,                 0.5354,                 1.0756,              0.0001431,              0.0001431,              0.0001431
                     91,                0.29821,                0.38219,                0.94311,                0.90141,                0.87454,                0.95143,                0.85444,                0.46222,                 0.5514,                 1.0698,              0.0001321,              0.0001321,              0.0001321
                     92,                0.29515,                0.35631,                0.94047,                0.85462,                0.92463,                0.95834,                0.86205,                0.44821,                0.55585,                 1.0595,              0.0001211,              0.0001211,              0.0001211
                     93,                0.29868,                 0.3653,                0.94564,                0.84277,                0.93426,                0.95549,                0.86293,                0.43485,                 0.5485,                 1.0546,              0.0001101,              0.0001101,              0.0001101
                     94,                0.26477,                0.32965,                0.90944,                0.87016,                0.89828,                0.95364,                0.86144,                0.43205,                0.56248,                 1.0422,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.26464,                0.33395,                0.91303,                0.87063,                0.89696,                0.95243,                 0.8794,                0.41188,                0.55499,                 1.0293,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                 0.2752,                0.33847,                0.92941,                0.87933,                 0.8884,                 0.9577,                0.88504,                0.40895,                0.55174,                 1.0372,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.26655,                0.32641,                0.92641,                0.84924,                0.91374,                0.95549,                0.88403,                 0.3971,                 0.5592,                 1.0197,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.27243,                0.33222,                0.92311,                0.87772,                0.89474,                0.95499,                0.88374,                0.40069,                0.53419,                 1.0185,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.26469,                0.33951,                0.92376,                0.84398,                0.93877,                0.95491,                0.88369,                0.40658,                0.52608,                 1.0252,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.26035,                0.31777,                0.91472,                0.85593,                0.93955,                 0.9564,                0.88487,                0.40938,                0.52817,                 1.0306,             3.3108e-05,             3.3108e-05,             3.3108e-05
